1452,2184,259
1585,2184,168
1207,1773,167
1450,1808,163
1209,1431,160
1209,1777,154
1209,1246,153
1209,1556,152
1228,1246,149
1228,1827,123
1632,2044,118
1305,1736,115
1571,1954,112
1692,2068,102
1808,1878,101
1632,1642,100
1808,2068,99
1569,1808,89
1209,2099,86
1140,1141,86
1732,2184,85
1209,1875,84
1183,1246,82
1469,1492,81
1246,1806,80
1492,1968,79
1492,1528,74
1209,1886,73
1200,1808,73
1306,2184,70
1209,1576,70
1571,1736,68
1808,1944,67
1246,1641,65
1209,1452,65
1209,1305,65
1177,1844,63
1179,1808,61
1274,1305,60
1537,1808,59
1246,2135,58
1246,1726,58
1844,1995,56
1228,1773,56
1209,1798,56
1773,1865,55
1445,1585,54
1300,1305,53
1372,2184,52
1337,2184,52
1209,1808,52
1162,1827,50
1279,1632,49
1141,1453,49
1244,1827,47
1723,1773,46
1692,2209,46
1232,1632,46
1279,1305,45
1808,1841,44
1720,1929,43
1228,1778,43
1140,1374,43
1795,1808,42
1246,1345,42
1325,1632,41
1140,2105,41
1120,1808,40
1808,2065,38
1740,1808,38
1492,1870,37
1492,2115,36
2130,2184,35
1305,1663,35
1228,2174,34
1780,1808,33
1246,2218,32
1141,2050,32
1209,1722,31
1625,1773,30
1453,1578,30
1446,1808,30
1376,1692,30
1188,1773,30
1228,2013,29
1209,1270,29
1305,1833,28
1228,1578,28
1140,1289,28
1703,2184,27
1340,1808,27
1240,2184,27
1228,1377,27
1207,1492,27
1180,1246,27
1450,1627,26
1132,1246,26
1228,1803,25
1209,2046,25
1199,2184,25
1808,1864,24
1228,1964,24
1808,2196,23
1515,2184,23
1141,1489,23
1141,1196,23
1668,1995,22
1395,1632,22
1305,1853,22
1209,1818,22
1209,1655,22
2184,2208,21
1995,2192,21
1720,1837,21
1692,2039,21
1482,1827,21
1450,2219,21
1355,2184,21
1141,1943,21
1808,2054,20
1773,1876,20
1444,1632,20
1209,2188,20
1158,1692,20
2020,2184,19
1667,1827,19
1640,1773,19
1632,2140,19
1560,1773,19
1491,1808,19
1246,1783,19
1736,1828,18
1461,1632,18
1344,2184,18
1305,2042,18
1289,1787,18
1141,1607,18
1136,2184,18
1808,2217,17
1257,2068,17
1251,1632,17
1228,2073,17
1223,1692,17
1141,1328,17
1141,1326,17
1138,1209,17
1720,2184,16
1720,2011,16
1452,1915,16
1450,1456,16
1443,1571,16
1280,1722,16
1228,1697,16
1215,2184,16
